score,score_dealer,hard,score_if_hit,score_fin_dealer,game_id,hard_if_hit
16,10,True,23,24,210,True
19,7,True,29,23,211,True
13,7,True,15,23,212,True
15,7,True,25,23,212,True
16,7,True,26,23,213,True
12,2,True,13,21,214,True
13,2,True,18,21,214,True
18,2,True,28,21,214,True
12,2,True,15,21,215,True
15,2,True,18,21,215,True
18,2,True,25,21,215,True
13,2,True,22,21,216,True
20,8,True,22,18,217,True
16,8,True,17,18,218,True
17,8,True,26,18,218,True
17,8,True,27,18,219,True
15,10,True,20,20,220,True
20,10,True,29,20,220,True
12,10,True,22,20,221,True
15,10,True,24,20,222,True
13,4,True,14,19,223,True
14,4,True,17,19,223,True
17,4,True,21,19,223,True
14,4,True,16,19,224,True
16,4,True,26,19,224,True
17,4,True,27,19,225,True
5,10,True,13,18,226,True
13,10,True,22,18,226,True
20,10,True,19,18,227,True
19,10,True,27,18,227,True
16,10,True,18,18,228,True
18,10,True,28,18,228,True
7,8,True,17,26,229,True
17,8,True,20,26,229,True
20,8,True,24,26,229,True
7,8,True,17,26,230,True
17,8,True,26,26,230,True
14,8,True,24,26,231,True
21,8,True,,26,232,
16,11,True,17,20,233,True
17,11,True,27,20,233,True
9,11,True,19,20,234,True
19,11,True,20,20,234,True
20,11,True,30,20,234,True
19,11,True,22,20,235,True
18,3,True,24,18,236,True
17,3,True,27,18,237,True
15,3,True,12,18,238,True
12,3,True,18,18,238,True
18,3,True,27,18,238,True
13,7,True,13,24,239,True
13,7,True,17,24,239,True
17,7,True,27,24,239,True
19,7,True,19,24,240,True
19,7,True,28,24,240,True
20,7,True,30,24,241,True
17,6,True,26,20,242,True
18,6,True,25,20,243,True
15,6,True,15,20,244,True
15,6,True,25,20,244,True
20,4,True,30,20,245,True
11,4,True,21,20,246,True
17,4,True,24,20,247,True
12,10,True,19,21,248,True
19,10,True,28,21,248,True
14,10,True,21,21,249,True
15,10,True,23,21,250,True
19,7,True,22,26,251,True
16,7,True,25,26,252,True
12,7,True,22,26,253,True
5,5,True,16,19,254,True
16,5,True,16,19,254,True
16,5,True,24,19,254,True
20,5,True,24,19,255,True
15,5,True,19,19,256,True
19,5,True,23,19,256,True
16,7,True,20,17,257,True
20,7,True,25,17,257,True
15,7,True,22,17,258,True
12,7,True,17,17,259,True
17,7,True,25,17,259,True
12,6,True,21,18,260,True
14,6,True,21,18,261,True
12,6,True,15,18,262,True
15,6,True,18,18,262,True
18,6,True,24,18,262,True
10,9,True,20,19,263,True
20,9,True,27,19,263,True
15,9,True,21,19,264,True
14,9,True,16,19,265,True
16,9,True,26,19,265,True
9,3,True,18,23,266,True
18,3,True,28,23,266,True
13,3,True,14,23,267,True
14,3,True,21,23,267,True
2,3,True,4,23,268,True
4,3,True,14,23,268,True
14,3,True,18,23,268,True
18,3,True,28,23,268,True
2,3,True,10,23,269,True
10,3,True,16,23,269,True
16,3,True,26,23,269,True
10,2,True,13,18,270,True
13,2,True,23,18,270,True
10,2,True,15,18,271,True
15,2,True,21,18,271,True
11,2,True,12,18,272,True
12,2,True,22,18,272,True
17,2,True,27,18,273,True
14,10,True,24,20,274,True
15,10,True,22,20,275,True
17,10,True,17,20,276,True
17,10,True,23,20,276,True
14,6,True,21,21,277,True
10,6,True,14,21,278,True
14,6,True,16,21,278,True
16,6,True,25,21,278,True
10,6,True,12,21,279,True
12,6,True,13,21,279,True
13,6,True,15,21,279,True
15,6,True,21,21,279,True
16,6,True,26,21,280,True
13,8,True,14,19,281,True
14,8,True,24,19,281,True
13,8,True,19,19,282,True
19,8,True,22,19,282,True
18,8,True,26,19,283,True
10,11,True,21,18,284,True
20,11,True,30,18,285,True
16,11,True,21,18,286,True
7,10,True,15,20,287,True
15,10,True,24,20,287,True
12,10,True,22,20,288,True
17,10,True,27,20,289,True
11,10,True,21,19,290,True
16,10,True,26,19,291,True
20,10,True,17,19,292,True
17,10,True,18,19,292,True
18,10,True,24,19,292,True
7,7,True,17,17,293,True
17,7,True,27,17,293,True
13,7,True,18,17,294,True
18,7,True,24,17,294,True
12,7,True,22,17,295,True
18,10,True,28,18,296,True
13,10,True,20,18,297,True
20,10,True,26,18,297,True
18,10,True,22,18,298,True
6,10,True,16,17,299,True
16,10,True,19,17,299,True
19,10,True,29,17,299,True
15,10,True,17,17,300,True
17,10,True,25,17,300,True
10,10,True,16,17,301,True
16,10,True,17,17,301,True
17,10,True,20,17,301,True
20,10,True,22,17,301,True
10,10,True,12,17,302,True
12,10,True,17,17,302,True
17,10,True,19,17,302,True
19,10,True,27,17,302,True
21,10,True,,19,303,
11,10,True,19,19,304,True
19,10,True,21,19,304,True
15,10,True,25,19,305,True
10,9,True,20,19,306,True
20,9,True,25,19,306,True
10,9,True,20,19,307,True
20,9,True,29,19,307,True
16,9,True,23,19,308,True
12,9,True,14,19,309,True
14,9,True,21,19,309,True
13,8,True,18,25,310,True
18,8,True,21,25,310,True
17,8,True,27,25,311,True
21,8,True,,25,312,
18,10,True,28,23,313,True
17,10,True,24,23,314,True
12,10,True,14,23,315,True
14,10,True,23,23,315,True
16,8,True,21,19,316,True
20,8,True,24,19,317,True
17,8,True,19,19,318,True
19,8,True,24,19,318,True
13,10,True,21,20,319,True
14,10,True,14,20,320,True
14,10,True,21,20,320,True
14,10,True,24,20,321,True
21,3,True,,22,322,
16,3,True,26,22,323,True
10,3,True,19,22,324,True
19,3,True,29,22,324,True
16,5,True,18,17,325,True
18,5,True,19,17,325,True
19,5,True,25,17,325,True
9,5,True,17,17,326,True
17,5,True,27,17,326,True
14,5,True,19,17,327,True
19,5,True,16,17,327,True
16,5,True,21,17,327,True
15,8,True,25,21,328,True
11,8,True,14,21,329,True
14,8,True,23,21,329,True
10,8,True,20,21,330,True
20,8,True,25,21,330,True
10,8,True,12,21,331,True
12,8,True,18,21,331,True
18,8,True,28,21,331,True
16,3,True,18,24,332,True
18,3,True,22,24,332,True
21,3,True,,24,333,
17,3,True,18,24,334,True
18,3,True,28,24,334,True
7,10,True,10,21,335,True
10,10,True,20,21,335,True
20,10,True,30,21,335,True
2,10,True,9,21,336,True
9,10,True,20,21,336,True
20,10,True,20,21,336,True
20,10,True,30,21,336,True
2,10,True,12,21,337,True
12,10,True,22,21,337,True
10,10,True,20,21,338,True
20,10,True,27,21,338,True
16,3,True,24,23,339,True
